bootstrap_ci_high,bootstrap_ci_low,configuration,family,formation_rate,mean_difference,median_births,median_preprocessing_seconds,record_type,runs
,,current_heuristic,layer_b_heterogeneous_tseitin,0.775,,53.0,0.04671249998500571,configuration,40
,,early_stop,layer_b_heterogeneous_tseitin,0.775,,53.0,0.045351541513809934,configuration,40
,,external_input_order,layer_b_heterogeneous_tseitin,0,,42.5,0.5646767709986307,configuration,40
,,full_elimination,layer_b_heterogeneous_tseitin,1,,59.0,0.029780937504256144,configuration,40
,,original_relations_only,layer_b_heterogeneous_tseitin,0,,25.5,0.026057999988552183,configuration,40
,,random_order,layer_b_heterogeneous_tseitin,0,,46.5,0.8162383955204859,configuration,40
,,recursive_births,layer_b_heterogeneous_tseitin,0.775,,53.0,0.04564129197387956,configuration,40
,,scope_recovery_off,layer_b_heterogeneous_tseitin,0.6,,53.0,0.03901718748966232,configuration,40
,,shuffled_candidate_score,layer_b_heterogeneous_tseitin,0.025,,42.5,0.8147024374629837,configuration,40
,,current_heuristic,layer_c_heterogeneous_tseitin,0.675,,478.0,0.28040583300753497,configuration,40
,,early_stop,layer_c_heterogeneous_tseitin,0.675,,478.0,0.27403722947929054,configuration,40
,,external_input_order,layer_c_heterogeneous_tseitin,0,,468.0,2.445714395522373,configuration,40
,,full_elimination,layer_c_heterogeneous_tseitin,1,,484.0,0.1988176665327046,configuration,40
,,original_relations_only,layer_c_heterogeneous_tseitin,0,,236.5,0.2241431044822093,configuration,40
,,random_order,layer_c_heterogeneous_tseitin,0.225,,472.0,3.446670292003546,configuration,40
,,recursive_births,layer_c_heterogeneous_tseitin,0.675,,478.0,0.2771599164989311,configuration,40
,,scope_recovery_off,layer_c_heterogeneous_tseitin,0.675,,478.0,0.2749885630328208,configuration,40
,,shuffled_candidate_score,layer_c_heterogeneous_tseitin,0.225,,473.0,3.5983373335038777,configuration,40
,,exact_optimal,random_exact,1,,1.0,,configuration,20
0.8128124999999983,0.625,recursive_minus_original_success,B+C,,0.725,,,paired_contrast,80
5.725,4.8246875000000005,full_minus_early_births,B+C,,5.2625,,,paired_contrast,80
