rep,unsat,expected,fixed_status,fixed_correct,fixed_seconds,adaptive_status,adaptive_correct,adaptive_seconds,adaptive_attempts,selected_tie_seed,selected_arity,full_adaptive_status,full_adaptive_correct,full_adaptive_seconds,full_adaptive_attempts,full_selected_tie_seed,full_selected_arity
0,False,SAT,SAT,True,0.1752735400000347,SAT,True,0.1292854339999394,1,0,8,,,,,,
0,True,UNSAT,UNSAT,True,0.1107587659998898,UNSAT,True,0.1107215500001075,1,0,8,,,,,,
1,False,SAT,SAT,True,0.1037650129997018,SAT,True,0.1039112339999519,1,0,8,,,,,,
1,True,UNSAT,UNSAT,True,0.1192525209999075,UNSAT,True,0.1191655279999395,1,0,8,,,,,,
2,False,SAT,SAT,True,0.1111315579996699,SAT,True,0.1098451280004155,1,0,8,,,,,,
2,True,UNSAT,UNSAT,True,0.1057856890001858,UNSAT,True,0.1055108650002694,1,0,8,,,,,,
3,False,SAT,SAT,True,0.1615582540002833,SAT,True,0.161677434000012,1,0,8,,,,,,
3,True,UNSAT,UNSAT,True,0.1228322160000061,UNSAT,True,0.1235181600000032,1,0,8,,,,,,
4,False,SAT,SAT,True,0.1122635840001748,SAT,True,0.1123307849998127,1,0,8,,,,,,
4,True,UNSAT,UNKNOWN,False,0.1939643460000297,UNSAT,True,0.3063140599997496,2,1,8,,,,,,
5,False,SAT,SAT,True,0.0959804530002657,SAT,True,0.0949808600003052,1,0,8,,,,,,
5,True,UNSAT,UNSAT,True,0.1000764629998229,UNSAT,True,0.0993238880000717,1,0,8,,,,,,
6,False,SAT,SAT,True,0.118859156000326,SAT,True,0.1199983439996685,1,0,8,,,,,,
6,True,UNSAT,UNSAT,True,0.1096597490000022,UNSAT,True,0.1162775460002194,1,0,8,,,,,,
7,False,SAT,SAT,True,0.1045369869998467,SAT,True,0.1179273819998343,1,0,8,,,,,,
7,True,UNSAT,UNSAT,True,0.1055480810000517,UNSAT,True,0.102771395000218,1,0,8,,,,,,
8,False,SAT,SAT,True,0.1189232629999423,SAT,True,0.1181950149998556,1,0,8,,,,,,
8,True,UNSAT,UNSAT,True,0.1360463820001314,UNSAT,True,0.1330151959996328,1,0,8,,,,,,
9,False,SAT,SAT,True,0.109662242000013,SAT,True,0.1097401400002127,1,0,8,,,,,,
9,True,UNSAT,UNSAT,True,0.1086784589997478,UNSAT,True,0.1084433760001957,1,0,8,,,,,,
10,False,SAT,SAT,True,0.1050692389999312,SAT,True,0.1049915820003661,1,0,8,,,,,,
10,True,UNSAT,UNSAT,True,0.108975096999984,UNSAT,True,0.1086663920000319,1,0,8,,,,,,
11,False,SAT,SAT,True,0.1157358790001126,SAT,True,0.1154302039999493,1,0,8,,,,,,
11,True,UNSAT,UNSAT,True,0.128474223000012,UNSAT,True,0.1286277239996707,1,0,8,,,,,,
12,False,SAT,SAT,True,0.1270286789999772,SAT,True,0.1263552650002566,1,0,8,,,,,,
12,True,UNSAT,UNSAT,True,0.1163345820000358,UNSAT,True,0.1643663459999516,1,0,8,,,,,,
13,False,SAT,UNKNOWN,False,0.1897100790001786,SAT,True,0.3345309930000439,2,1,8,,,,,,
13,True,UNSAT,UNSAT,True,0.102375793000192,UNSAT,True,0.1010309299999789,1,0,8,,,,,,
14,False,SAT,SAT,True,0.1101340240002173,SAT,True,0.1104936550000275,1,0,8,,,,,,
14,True,UNSAT,UNSAT,True,0.1123486360002061,UNSAT,True,0.1173381219996372,1,0,8,,,,,,
15,False,SAT,SAT,True,0.1260381479996795,SAT,True,0.1237071630002901,1,0,8,,,,,,
15,True,UNSAT,UNSAT,True,0.1343351800001073,UNSAT,True,0.1319451049998861,1,0,8,,,,,,
16,False,SAT,UNKNOWN,False,0.1284955860000991,UNKNOWN,False,0.4732293359998039,4,3,8,SAT,True,0.8631240270001399,7.0,6.0,8.0
16,True,UNSAT,UNSAT,True,0.1109082490002038,UNSAT,True,0.1087844540002151,1,0,8,,,,,,
17,False,SAT,SAT,True,0.1078781649998745,SAT,True,0.1065439929998319,1,0,8,,,,,,
17,True,UNSAT,UNSAT,True,0.1057466239999485,UNSAT,True,0.1059681870001441,1,0,8,,,,,,
18,False,SAT,SAT,True,0.1164011820001178,SAT,True,0.1139173249998748,1,0,8,,,,,,
18,True,UNSAT,UNSAT,True,0.1366602480002257,UNSAT,True,0.1253591070003494,1,0,8,,,,,,
19,False,SAT,SAT,True,0.1196606349999456,SAT,True,0.1257014809998509,1,0,8,,,,,,
19,True,UNSAT,UNSAT,True,0.1106862850001562,UNSAT,True,0.1682238479997977,1,0,8,,,,,,
