configuration,correct,decisive,family,median_conflicts,median_seconds,proof_bytes,proofs_verified,runs,solver,timeouts,unsat
bve_off,40,40,layer_a_v01_regression,4.0,0.0062923124933149666,19902,20,40,cadical,0,20
bve_on,40,40,layer_a_v01_regression,4.0,0.0064812500204425305,19902,20,40,cadical,0,20
congruence_off,40,40,layer_a_v01_regression,4.0,0.00647808299981989,19902,20,40,cadical,0,20
congruence_on,40,40,layer_a_v01_regression,4.0,0.006259416491957381,19902,20,40,cadical,0,20
default,40,40,layer_a_v01_regression,4.0,0.006862853973871097,19902,20,40,cadical,0,20
elimdef_off,40,40,layer_a_v01_regression,4.0,0.006918312516063452,19902,20,40,cadical,0,20
elimdef_on,40,40,layer_a_v01_regression,4.0,0.006559520494192839,19902,20,40,cadical,0,20
factor_off,40,40,layer_a_v01_regression,4.0,0.006462833494879305,19902,20,40,cadical,0,20
factor_on,40,40,layer_a_v01_regression,4.0,0.006351208488922566,19902,20,40,cadical,0,20
default,40,40,layer_a_v01_regression,4.0,0.0066651249944698066,0,0,40,cryptominisat5,0,20
gaussian_off,40,40,layer_a_v01_regression,4.0,0.006689812493277714,0,0,40,cryptominisat5,0,20
gaussian_on,40,40,layer_a_v01_regression,4.0,0.006939354003407061,0,0,40,cryptominisat5,0,20
xor_and_gaussian_off,40,40,layer_a_v01_regression,4.0,0.0064193544967565686,0,0,40,cryptominisat5,0,20
xor_and_gaussian_on,40,40,layer_a_v01_regression,4.0,0.006726999970851466,0,0,40,cryptominisat5,0,20
xor_recovery_off,40,40,layer_a_v01_regression,4.0,0.006665104505373165,0,0,40,cryptominisat5,0,20
xor_recovery_on,40,40,layer_a_v01_regression,4.0,0.006622437504120171,0,0,40,cryptominisat5,0,20
default,40,40,layer_a_v01_regression,4.0,0.006446229497669265,71876,20,40,kissat,0,20
current_min_scope,40,40,layer_a_v01_regression,0.0,0.07372308350750245,0,0,40,morph,0,20
default,40,40,layer_a_v01_regression,4.0,0.006498895992990583,0,0,40,z3,0,20
bve_off,40,40,layer_b_heterogeneous_tseitin,18.5,0.007146916468627751,64789,20,40,cadical,0,20
bve_on,40,40,layer_b_heterogeneous_tseitin,18.5,0.006881270499434322,64789,20,40,cadical,0,20
congruence_off,40,40,layer_b_heterogeneous_tseitin,18.5,0.007244103995617479,64789,20,40,cadical,0,20
congruence_on,40,40,layer_b_heterogeneous_tseitin,18.5,0.0072967295127455145,64789,20,40,cadical,0,20
default,60,60,layer_b_heterogeneous_tseitin,49.5,0.008791792031843215,752297,40,60,cadical,0,40
elimdef_off,40,40,layer_b_heterogeneous_tseitin,18.5,0.007183312496636063,64789,20,40,cadical,0,20
elimdef_on,40,40,layer_b_heterogeneous_tseitin,18.5,0.007078666996676475,64789,20,40,cadical,0,20
factor_off,40,40,layer_b_heterogeneous_tseitin,18.5,0.0069446665002033114,64789,20,40,cadical,0,20
factor_on,40,40,layer_b_heterogeneous_tseitin,18.5,0.007371416519163176,64789,20,40,cadical,0,20
default,60,60,layer_b_heterogeneous_tseitin,45.5,0.00838241699966602,0,0,60,cryptominisat5,0,40
gaussian_off,40,40,layer_b_heterogeneous_tseitin,20.0,0.0071223744889721274,0,0,40,cryptominisat5,0,20
gaussian_on,40,40,layer_b_heterogeneous_tseitin,20.0,0.007255020987940952,0,0,40,cryptominisat5,0,20
xor_and_gaussian_off,40,40,layer_b_heterogeneous_tseitin,20.0,0.007050499523757026,0,0,40,cryptominisat5,0,20
xor_and_gaussian_on,40,40,layer_b_heterogeneous_tseitin,20.0,0.007280479010660201,0,0,40,cryptominisat5,0,20
xor_recovery_off,40,40,layer_b_heterogeneous_tseitin,20.0,0.007384228985756636,0,0,40,cryptominisat5,0,20
xor_recovery_on,40,40,layer_b_heterogeneous_tseitin,20.0,0.007187125011114404,0,0,40,cryptominisat5,0,20
default,60,60,layer_b_heterogeneous_tseitin,23.0,0.008300791523652151,1464039,40,60,kissat,0,40
current_min_scope,31,31,layer_b_heterogeneous_tseitin,0.0,0.08567937498446554,0,0,60,morph,0,19
default,60,60,layer_b_heterogeneous_tseitin,39.0,0.0077368124620988965,0,0,60,z3,0,40
bve_off,40,40,layer_c_heterogeneous_tseitin,18.5,0.006857104483060539,269624,20,40,cadical,0,20
bve_on,40,40,layer_c_heterogeneous_tseitin,18.5,0.007266520493431017,269624,20,40,cadical,0,20
congruence_off,40,40,layer_c_heterogeneous_tseitin,18.5,0.007227041496662423,269624,20,40,cadical,0,20
congruence_on,40,40,layer_c_heterogeneous_tseitin,18.5,0.007673958025407046,269624,20,40,cadical,0,20
default,40,40,layer_c_heterogeneous_tseitin,18.5,0.007288437511306256,269624,20,40,cadical,0,20
elimdef_off,40,40,layer_c_heterogeneous_tseitin,18.5,0.007292354479432106,269624,20,40,cadical,0,20
elimdef_on,40,40,layer_c_heterogeneous_tseitin,18.5,0.006999645993346348,269624,20,40,cadical,0,20
factor_off,40,40,layer_c_heterogeneous_tseitin,18.5,0.00709716702112928,269624,20,40,cadical,0,20
factor_on,40,40,layer_c_heterogeneous_tseitin,18.5,0.007488083501812071,269624,20,40,cadical,0,20
default,40,40,layer_c_heterogeneous_tseitin,18.0,0.0071761249855626374,0,0,40,cryptominisat5,0,20
gaussian_off,40,40,layer_c_heterogeneous_tseitin,18.0,0.007041291508357972,0,0,40,cryptominisat5,0,20
gaussian_on,40,40,layer_c_heterogeneous_tseitin,18.0,0.007539770478615537,0,0,40,cryptominisat5,0,20
xor_and_gaussian_off,40,40,layer_c_heterogeneous_tseitin,18.0,0.007001334015512839,0,0,40,cryptominisat5,0,20
xor_and_gaussian_on,40,40,layer_c_heterogeneous_tseitin,18.0,0.007371187006356195,0,0,40,cryptominisat5,0,20
xor_recovery_off,40,40,layer_c_heterogeneous_tseitin,18.0,0.007367437501670793,0,0,40,cryptominisat5,0,20
xor_recovery_on,40,40,layer_c_heterogeneous_tseitin,18.0,0.0068068130349274725,0,0,40,cryptominisat5,0,20
default,40,40,layer_c_heterogeneous_tseitin,4.0,0.00673547902260907,634811,20,40,kissat,0,20
current_min_scope,27,27,layer_c_heterogeneous_tseitin,0.0,0.32672987499972805,0,0,40,morph,0,17
default,40,40,layer_c_heterogeneous_tseitin,19.0,0.0069260625168681145,0,0,40,z3,0,20
bve_off,40,40,layer_d_random_reordered_parity,4.5,0.006841749971499667,6268,20,40,cadical,0,20
bve_on,40,40,layer_d_random_reordered_parity,4.5,0.006799333496019244,6268,20,40,cadical,0,20
congruence_off,40,40,layer_d_random_reordered_parity,4.5,0.006871791498269886,6268,20,40,cadical,0,20
congruence_on,40,40,layer_d_random_reordered_parity,4.5,0.0065553544845897704,6268,20,40,cadical,0,20
default,60,60,layer_d_random_reordered_parity,16.5,0.00764054199680686,1129533,40,60,cadical,0,40
elimdef_off,40,40,layer_d_random_reordered_parity,4.5,0.0067338749940972775,6268,20,40,cadical,0,20
elimdef_on,40,40,layer_d_random_reordered_parity,4.5,0.006707187509164214,6268,20,40,cadical,0,20
factor_off,40,40,layer_d_random_reordered_parity,4.5,0.0067575835273601115,6268,20,40,cadical,0,20
factor_on,40,40,layer_d_random_reordered_parity,4.5,0.00693491697893478,6268,20,40,cadical,0,20
default,60,60,layer_d_random_reordered_parity,14.5,0.007776562531944364,0,0,60,cryptominisat5,0,40
gaussian_off,40,40,layer_d_random_reordered_parity,4.0,0.006908792012836784,0,0,40,cryptominisat5,0,20
gaussian_on,40,40,layer_d_random_reordered_parity,4.0,0.006691812537610531,0,0,40,cryptominisat5,0,20
xor_and_gaussian_off,40,40,layer_d_random_reordered_parity,4.0,0.006821437506005168,0,0,40,cryptominisat5,0,20
xor_and_gaussian_on,40,40,layer_d_random_reordered_parity,4.0,0.006957146018976346,0,0,40,cryptominisat5,0,20
xor_recovery_off,40,40,layer_d_random_reordered_parity,4.0,0.006851249490864575,0,0,40,cryptominisat5,0,20
xor_recovery_on,40,40,layer_d_random_reordered_parity,4.0,0.007031249988358468,0,0,40,cryptominisat5,0,20
default,60,60,layer_d_random_reordered_parity,0.0,0.007701791997533292,1225043,40,60,kissat,0,40
current_min_scope,60,60,layer_d_random_reordered_parity,0.0,0.047059395466931164,0,0,60,morph,0,40
default,60,60,layer_d_random_reordered_parity,12.5,0.007089062477461994,0,0,60,z3,0,40
bve_off,40,40,layer_d_resolution_tseitin_reference,4.5,0.006872791476780549,6916,20,40,cadical,0,20
bve_on,40,40,layer_d_resolution_tseitin_reference,4.5,0.006810750492149964,6916,20,40,cadical,0,20
congruence_off,40,40,layer_d_resolution_tseitin_reference,4.5,0.0073611034895293415,6916,20,40,cadical,0,20
congruence_on,40,40,layer_d_resolution_tseitin_reference,4.5,0.007187520997831598,6916,20,40,cadical,0,20
default,40,40,layer_d_resolution_tseitin_reference,4.5,0.008283250004751608,6916,20,40,cadical,0,20
elimdef_off,40,40,layer_d_resolution_tseitin_reference,4.5,0.006990041001699865,6916,20,40,cadical,0,20
elimdef_on,40,40,layer_d_resolution_tseitin_reference,4.5,0.00671381302527152,6916,20,40,cadical,0,20
factor_off,40,40,layer_d_resolution_tseitin_reference,4.5,0.007112708524800837,6916,20,40,cadical,0,20
factor_on,40,40,layer_d_resolution_tseitin_reference,4.5,0.007364104501903057,6916,20,40,cadical,0,20
default,40,40,layer_d_resolution_tseitin_reference,4.0,0.007436000014422461,0,0,40,cryptominisat5,0,20
gaussian_off,40,40,layer_d_resolution_tseitin_reference,4.0,0.007227895985124633,0,0,40,cryptominisat5,0,20
gaussian_on,40,40,layer_d_resolution_tseitin_reference,4.0,0.0067651869903784245,0,0,40,cryptominisat5,0,20
xor_and_gaussian_off,40,40,layer_d_resolution_tseitin_reference,4.0,0.006839916488388553,0,0,40,cryptominisat5,0,20
xor_and_gaussian_on,40,40,layer_d_resolution_tseitin_reference,4.0,0.006691708491416648,0,0,40,cryptominisat5,0,20
xor_recovery_off,40,40,layer_d_resolution_tseitin_reference,4.0,0.007194729492766783,0,0,40,cryptominisat5,0,20
xor_recovery_on,40,40,layer_d_resolution_tseitin_reference,4.0,0.007089978957083076,0,0,40,cryptominisat5,0,20
default,40,40,layer_d_resolution_tseitin_reference,0.0,0.006564791547134519,6473,20,40,kissat,0,20
current_min_scope,40,40,layer_d_resolution_tseitin_reference,0.0,0.046153958479408175,0,0,40,morph,0,20
default,40,40,layer_d_resolution_tseitin_reference,4.0,0.006619520980166271,0,0,40,z3,0,20
