vertices,rep,seed,nvars,nclauses,generation_seconds,morph_seconds,morph_status,morph_verified,concept_births,concept_depth,certificate_equations,initial_common_classes,z3_status,z3_seconds,z3_timeout_ms,z3_conflicts,z3_decisions,z3_propagations_nary
16,0,3000160,56,448,0.0029451780001181,0.0128729880002538,UNSAT,True,26,10,27,"[""affine""]",UNSAT,0.0039750200003254,2000.0,286.0,598.0,2440.0
16,1,3000161,56,448,0.0021374500001911,0.0124033350002719,UNSAT,True,25,8,26,"[""affine""]",UNSAT,0.0030977970000094,2000.0,290.0,717.0,2707.0
16,2,3000162,56,448,0.0022955859999456,0.0120723300001372,UNSAT,True,24,12,25,"[""affine""]",UNSAT,0.0033073409999815,2000.0,385.0,788.0,3876.0
32,0,3000320,112,896,0.0041792050001276,0.0243743539999741,UNSAT,True,53,16,54,"[""affine""]",UNSAT,0.0084089870001662,2000.0,828.0,2017.0,6669.0
32,1,3000321,112,896,0.0061451980000128,0.0253839249999145,UNSAT,True,47,11,48,"[""affine""]",UNSAT,0.007230563000121,2000.0,919.0,2202.0,7266.0
32,2,3000322,112,896,0.0042624800003068,0.0242214350000722,UNSAT,True,46,16,47,"[""affine""]",UNSAT,0.0072419499997522,2000.0,971.0,2305.0,7782.0
64,0,3000640,224,1792,0.0079908409998097,0.0472084429998176,UNSAT,True,110,28,111,"[""affine""]",UNSAT,0.6345896780003386,2000.0,62062.0,101009.0,449953.0
64,1,3000641,224,1792,0.0089356650000809,0.0487733540003318,UNSAT,True,91,25,92,"[""affine""]",TIMEOUT,2.005304998000156,2000.0,133554.0,246707.0,981443.0
64,2,3000642,224,1792,0.0090634220000538,0.0501934429998982,UNSAT,True,102,22,103,"[""affine""]",TIMEOUT,2.0057054320000134,2000.0,121785.0,245378.0,745053.0
128,0,3001280,448,3584,0.017585125000096,0.0947965999998814,UNSAT,True,208,40,209,"[""affine""]",TIMEOUT,2.009161077999579,2000.0,90000.0,148707.0,974112.0
128,1,3001281,448,3584,0.0167319990000578,0.0956063610001365,UNSAT,True,218,56,219,"[""affine""]",TIMEOUT,2.009642471999996,2000.0,143454.0,222351.0,1288490.0
128,2,3001282,448,3584,0.017199557999902,0.0952931430001626,UNSAT,True,221,42,222,"[""affine""]",TIMEOUT,2.0092936989999544,2000.0,134528.0,208428.0,1388931.0
256,0,3002560,896,7168,0.0342701320000742,0.1910718160002034,UNSAT,True,419,69,420,"[""affine""]",TIMEOUT,2.017032616000052,2000.0,96320.0,149572.0,1318792.0
256,1,3002561,896,7168,0.0340112660001068,0.1879906310000478,UNSAT,True,408,77,409,"[""affine""]",TIMEOUT,2.0208693639997364,2000.0,103867.0,205394.0,1336104.0
256,2,3002562,896,7168,0.0408074880001549,0.1909023529997284,UNSAT,True,414,78,415,"[""affine""]",TIMEOUT,2.016713463000088,2000.0,90000.0,152004.0,2252501.0
512,0,3005120,1792,14336,0.0699401589999979,0.3872990770000797,UNSAT,True,825,124,826,"[""affine""]",,,,,,
512,1,3005121,1792,14336,0.0707672659996205,0.3876344740001514,UNSAT,True,823,127,824,"[""affine""]",,,,,,
512,2,3005122,1792,14336,0.0693237430000408,0.4465021880000677,UNSAT,True,853,122,854,"[""affine""]",,,,,,
1024,0,3010240,3584,28672,0.13608350100003,0.7735527979998551,UNSAT,True,1670,220,1671,"[""affine""]",,,,,,
1024,1,3010241,3584,28672,0.1408400689997506,0.7726273809998929,UNSAT,True,1644,254,1645,"[""affine""]",,,,,,
1024,2,3010242,3584,28672,0.1394324870002492,0.7724169560001428,UNSAT,True,1699,249,1700,"[""affine""]",,,,,,
2048,0,3020480,7168,57344,0.2970330639996064,1.5721639289999985,UNSAT,True,3331,456,3332,"[""affine""]",,,,,,
2048,1,3020481,7168,57344,0.2981710600001861,1.6036345939996863,UNSAT,True,3307,460,3308,"[""affine""]",,,,,,
2048,2,3020482,7168,57344,0.3050107210001442,1.6375810259996797,UNSAT,True,3335,430,3336,"[""affine""]",,,,,,
4096,0,3040960,14336,114688,0.6200391109996417,3.20393547499998,UNSAT,True,6697,888,6698,"[""affine""]",,,,,,
4096,1,3040961,14336,114688,0.6157500609997442,3.309754829999747,UNSAT,True,6648,818,6649,"[""affine""]",,,,,,
4096,2,3040962,14336,114688,0.6470268250000117,3.1838299410001127,UNSAT,True,6679,859,6680,"[""affine""]",,,,,,
8192,0,3081920,28672,229376,1.253817798,7.305172868000227,UNSAT,True,13328,1737,13329,"[""affine""]",,,,,,
8192,1,3081921,28672,229376,1.5544442719997278,6.681424009000239,UNSAT,True,13265,1657,13266,"[""affine""]",,,,,,
8192,2,3081922,28672,229376,1.3593827210002019,6.744346216999929,UNSAT,True,13323,1675,13324,"[""affine""]",,,,,,
