2cnf_backdoor_depth,2cnf_backdoor_depth_kind,2cnf_backdoor_treewidth,2cnf_backdoor_treewidth_kind,2cnf_backdoor_treewidth_witness,2cnf_strong_backdoor_kind,2cnf_strong_backdoor_size,2cnf_strong_backdoor_witness,affine_backdoor_depth,affine_backdoor_depth_kind,affine_backdoor_treewidth,affine_backdoor_treewidth_kind,affine_backdoor_treewidth_witness,affine_strong_backdoor_kind,affine_strong_backdoor_size,affine_strong_backdoor_witness,bruteforce_crosscheck,family,generator_seed,heuristic_births,heuristic_max_depth,heuristic_width,horn_backdoor_depth,horn_backdoor_depth_kind,horn_backdoor_treewidth,horn_backdoor_treewidth_kind,horn_backdoor_treewidth_witness,horn_strong_backdoor_kind,horn_strong_backdoor_size,horn_strong_backdoor_witness,incidence_treewidth,incidence_treewidth_kind,incidence_treewidth_lower,incidence_treewidth_upper,induced_width,induced_width_kind,induced_width_lower,induced_width_upper,infeasible_widths,initial_state_sha256,instance_id,min_births,min_max_depth,morph_width,morph_width_kind,nclauses,nvars,primal_treewidth,primal_treewidth_kind,primal_treewidth_lower,primal_treewidth_upper,scattered_backdoor_depth,scattered_backdoor_depth_kind,scattered_backdoor_treewidth,scattered_backdoor_treewidth_kind,scattered_backdoor_treewidth_witness,scattered_strong_backdoor_kind,scattered_strong_backdoor_size,scattered_strong_backdoor_witness,seed,states_explored,target_class,witness
1,exact,0,exact,[1],exact,1,[1],2,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",3,random_exact,10400,1,1,3,1,exact,0,exact,[4],exact,1,[4],4,exact,4,4,3,exact,3,3,"[0, 1, 2]",515bde062c299a4dbfe0c587fe12e406e1e1f9d2190ea93bd4b9027a8ee0276c,random_exact.n4.s0,1,1,3,exact,8,4,3,exact,3,3,1,exact,0,exact,[1],exact,1,[1],0,4,bijunctive,"[{""eliminated_variable"": 1, ""parent_relations"": [{""scope"": [1], ""allowed"": [1], ""depth"": 0}, {""scope"": [1, 2, 3], ""allowed"": [0, 1, 2, 4, 5, 6, 7], ""depth"": 0}, {""scope"": [1, 2, 3, 4], ""allowed"": [0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15], ""depth"": 0}], ""new_relation"": {""scope"": [2, 3, 4], ""allowed"": [0, 2, 3, 4, 6, 7], ""depth"": 1}, ""resulting_state_sha256"": ""8b313dde2cf00c41f5b8f8171ce449cd10fa9187c5c60b9fc5da813fb966c782""}]"
1,exact,0,exact,[1],exact,1,[1],3,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",3,random_exact,10401,1,1,3,2,exact,1,exact,"[1, 3]",exact,2,"[1, 3]",4,exact,4,4,3,exact,3,3,"[0, 1, 2]",974d327fd6b4391f9f32e08177ecb15995d4cf7296c2376d99c981b750af3482,random_exact.n4.s1,1,1,3,exact,8,4,3,exact,3,3,1,exact,0,exact,[1],exact,1,[1],1,4,dual_horn,"[{""eliminated_variable"": 1, ""parent_relations"": [{""scope"": [1, 2, 3], ""allowed"": [0, 2, 3, 4, 5, 7], ""depth"": 0}, {""scope"": [1, 2, 3, 4], ""allowed"": [0, 1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15], ""depth"": 0}, {""scope"": [1, 3], ""allowed"": [0, 1, 3], ""depth"": 0}, {""scope"": [1, 3, 4], ""allowed"": [1, 2, 3, 4, 5, 6, 7], ""depth"": 0}], ""new_relation"": {""scope"": [2, 3, 4], ""allowed"": [1, 2, 3, 4, 5, 6, 7], ""depth"": 1}, ""resulting_state_sha256"": ""188ed8f1b01d5008128fb9bebca6acd46d505128649897ab36590a5c60927726""}]"
2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",3,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",0,random_exact,10402,1,1,3,2,exact,1,exact,"[2, 3]",exact,2,"[2, 3]",4,exact,4,4,3,exact,3,3,[],7cfef7f21095e3a93b7196315fec6182dda0fd67caeb43fa853e5eb6bbe3bd96,random_exact.n4.s2,0,0,0,exact,8,4,3,exact,3,3,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",2,1,zero_valid,[]
1,exact,0,exact,[3],exact,1,[3],2,exact,1,exact,"[3, 4]",exact,2,"[3, 4]",3,random_exact,10403,1,1,3,2,exact,1,exact,"[2, 3]",exact,2,"[2, 3]",4,exact,4,4,3,exact,3,3,"[0, 1, 2]",727c84d1207fb5cfe5ab45e27f7e124f2394fbe45bb1218d5e508fdb702d9204,random_exact.n4.s3,1,1,3,exact,8,4,3,exact,3,3,1,exact,0,exact,[3],exact,1,[3],3,4,dual_horn,"[{""eliminated_variable"": 1, ""parent_relations"": [{""scope"": [1], ""allowed"": [0], ""depth"": 0}, {""scope"": [1, 2, 3], ""allowed"": [0, 1, 2, 3, 6, 7], ""depth"": 0}, {""scope"": [1, 2, 3, 4], ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14], ""depth"": 0}], ""new_relation"": {""scope"": [2, 3, 4], ""allowed"": [0, 1, 3, 4, 5, 7], ""depth"": 1}, ""resulting_state_sha256"": ""55544c22f954fed93adeba01425cd7aea57fb50956f8231970d54077f4bd7d80""}]"
2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",3,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",0,random_exact,10404,1,1,3,1,exact,0,exact,[2],exact,1,[2],4,exact,4,4,3,exact,3,3,[],235112631d98987eaa87f83446cc4543cc32ab69156b6c1975656c8290c33827,random_exact.n4.s4,0,0,0,exact,8,4,3,exact,3,3,1,exact,0,exact,[2],exact,1,[2],4,1,one_valid,[]
2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",3,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",3,random_exact,10405,2,2,3,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",4,exact,4,4,3,exact,3,3,"[0, 1, 2]",b8e6210b7574e0337568da66624db160cbfd50c739ff1f2cb5699b3522c43523,random_exact.n4.s5,1,1,3,exact,8,4,3,exact,3,3,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",5,5,dual_horn,"[{""eliminated_variable"": 1, ""parent_relations"": [{""scope"": [1, 2, 3], ""allowed"": [0, 2, 3, 4, 5, 6, 7], ""depth"": 0}, {""scope"": [1, 2, 3, 4], ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15], ""depth"": 0}, {""scope"": [1, 2, 4], ""allowed"": [0, 1, 2, 4, 5, 6, 7], ""depth"": 0}, {""scope"": [1, 3, 4], ""allowed"": [0, 1, 2, 3, 4, 5, 6], ""depth"": 0}], ""new_relation"": {""scope"": [2, 3, 4], ""allowed"": [0, 1, 2, 3, 5, 6, 7], ""depth"": 1}, ""resulting_state_sha256"": ""f97c6c55ec2f4aa1c493840b81ed77a1120b20ff2508bc86314939433cf84017""}]"
1,exact,0,exact,[1],exact,1,[1],2,exact,1,exact,"[1, 3]",exact,2,"[1, 3]",0,random_exact,10406,1,1,2,1,exact,0,exact,[1],exact,1,[1],3,exact,3,3,2,exact,2,2,[],ca1ef1fc0fa9c08039f646baf9ba01d636dca55d0771ab63ae9f4efe8164896a,random_exact.n4.s6,0,0,0,exact,8,4,2,exact,2,2,1,exact,0,exact,[1],exact,1,[1],6,1,one_valid,[]
2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",3,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",3,random_exact,10407,2,2,3,2,exact,1,exact,"[1, 3]",exact,2,"[1, 3]",3,exact,3,3,3,exact,3,3,"[0, 1, 2]",147487507f05ecd3c4402661fa2f3f7ff65936a1981ef511b369458a70e85ea3,random_exact.n4.s7,1,1,3,exact,8,4,3,exact,3,3,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",7,5,bijunctive,"[{""eliminated_variable"": 2, ""parent_relations"": [{""scope"": [1, 2], ""allowed"": [1, 2, 3], ""depth"": 0}, {""scope"": [1, 2, 3, 4], ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15], ""depth"": 0}, {""scope"": [2], ""allowed"": [1], ""depth"": 0}, {""scope"": [2, 3, 4], ""allowed"": [0, 1, 2, 3, 4, 6, 7], ""depth"": 0}], ""new_relation"": {""scope"": [1, 3, 4], ""allowed"": [0, 1, 2, 3, 6, 7], ""depth"": 1}, ""resulting_state_sha256"": ""7a0d3b73f3a372e33b7b9d0aad8ddfef9a3049fad11855dd8cb375146a87765e""}]"
2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",3,exact,2,exact,"[1, 2, 3]",exact,3,"[1, 2, 3]",0,random_exact,10408,1,1,3,2,exact,1,exact,"[3, 4]",exact,2,"[3, 4]",4,exact,4,4,3,exact,3,3,[],2e84ec22181e3be3a08636d4d3e105f6e3d7bd733830f467fb0ad584a6c92922,random_exact.n4.s8,0,0,0,exact,8,4,3,exact,3,3,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",8,1,zero_valid,[]
2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",0,random_exact,10409,0,0,0,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",3,exact,3,3,3,exact,3,3,[],88741e9fa2c4d5c53432750cf17b7dd143535b54d6f410ea2986f7c98d39fd7c,random_exact.n4.s9,0,0,0,exact,8,4,3,exact,3,3,2,exact,1,exact,"[1, 2]",exact,2,"[1, 2]",9,1,dual_horn,[]
