vertices,rep,seed,nvars,nclauses,no_fusion_status,initial_common_classes,fusion_status,fusion_verified,fusion_method,fusion_seconds,fusion_steps,fusion_depth,remaining_macro_relations,emergent_common_classes,attempt_count,selected_macro_arity,selected_tie_seed,z3_status,z3_seconds,z3_timeout_ms,z3_conflicts,z3_decisions,z3_propagations_nary
8,0,4000080,76,184,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.0461828960001184,71,13,2,"[""affine""]",1,8,0,UNSAT,0.0024478000000272,2000.0,26.0,29.0,147.0
8,1,4000081,76,184,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.0370940679999876,71,13,2,"[""affine"", ""bijunctive""]",1,8,0,UNSAT,0.0013730430000578,2000.0,19.0,25.0,133.0
8,2,4000082,76,184,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.0370197060001373,71,13,2,"[""affine"", ""bijunctive""]",1,8,0,UNSAT,0.001467113000217,2000.0,23.0,27.0,143.0
16,0,4000160,152,368,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.1029283440002473,139,12,5,"[""affine""]",1,8,0,UNSAT,0.0029996749999554,2000.0,180.0,206.0,2468.0
16,1,4000161,152,368,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.2348842890000924,141,14,3,"[""affine""]",2,8,1,UNSAT,0.0028920740001012,2000.0,169.0,199.0,2240.0
16,2,4000162,152,368,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.1043000239997127,139,13,6,"[""affine""]",1,8,0,UNSAT,0.0023280599998543,2000.0,96.0,130.0,1349.0
32,0,4000320,304,736,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.3561645309996493,276,12,12,"[""affine""]",1,8,0,UNSAT,0.0073160780002581,2000.0,576.0,782.0,9639.0
32,1,4000321,304,736,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.3455415889998221,280,13,8,"[""affine""]",1,8,0,UNSAT,0.0156158479999248,2000.0,3660.0,4966.0,30511.0
32,2,4000322,304,736,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,0.3714088710003125,281,14,8,"[""affine""]",1,8,0,UNSAT,0.0127642900001774,2000.0,1134.0,1438.0,18302.0
64,0,4000640,608,1472,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,1.1868435679998584,558,14,19,"[""affine""]",1,8,0,UNSAT,0.3287852640000892,2000.0,39840.0,59497.0,285933.0
64,1,4000641,608,1472,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,1.2410699809997825,558,13,19,"[""affine""]",1,8,0,TIMEOUT,2.003589854999973,2000.0,122013.0,210007.0,767724.0
64,2,4000642,608,1472,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,1.1803719260001344,558,12,18,"[""affine""]",1,8,0,UNSAT,0.5174070869998104,2000.0,46873.0,71696.0,379868.0
96,0,4000960,912,2208,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,2.301449163000143,837,14,28,"[""affine""]",1,8,0,TIMEOUT,2.0053876670003774,2000.0,135001.0,243409.0,1076416.0
96,1,4000961,912,2208,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,5.101765938999961,836,14,29,"[""affine""]",2,8,1,TIMEOUT,2.0050598759999048,2000.0,135002.0,208605.0,1208464.0
96,2,4000962,912,2208,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,2.6352759250003146,838,13,27,"[""affine""]",1,8,0,TIMEOUT,2.005199543999879,2000.0,135004.0,271382.0,1007377.0
128,0,4001280,1216,2944,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,4.49723446400003,1113,12,39,"[""affine""]",1,8,0,TIMEOUT,2.0079978980002124,2000.0,150510.0,264241.0,1325898.0
128,1,4001281,1216,2944,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,4.522199762999662,1112,12,40,"[""affine""]",1,8,0,TIMEOUT,2.0079869549999785,2000.0,142752.0,238893.0,1238288.0
128,2,4001282,1216,2944,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,4.427422129999741,1112,12,40,"[""affine""]",1,8,0,TIMEOUT,2.006404775000192,2000.0,130322.0,208543.0,1341603.0
160,0,4001600,1520,3680,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,7.705825184999867,1390,12,50,"[""affine""]",1,8,0,,,,,,
192,0,4001920,1824,4416,UNKNOWN,[],UNSAT,True,MORPH-FUSION-AFFINE,9.694784804999927,1679,15,50,"[""affine""]",1,8,0,,,,,,
