step,relation_count,max_arity,mean_depth,common_classes,affine_fraction,bijunctive_fraction,horn_fraction,dual_horn_fraction,zero_valid_fraction,one_valid_fraction
0,1344,3,0.0,[],0.14285714285714285,0.7142857142857143,0.6547619047619048,0.6755952380952381,0.7410714285714286,0.7507440476190477
1,1341,3,0.0007457121551081282,[],0.1424310216256525,0.7143922445935869,0.6539895600298284,0.6748695003728561,0.7404921700223713,0.750186428038777
2,1340,3,0.0014925373134328358,[],0.1417910447761194,0.7141791044776119,0.6537313432835821,0.6746268656716418,0.7402985074626866,0.75
3,1337,3,0.002243829468960359,[],0.14210919970082272,0.7142857142857143,0.6529543754674645,0.674644727000748,0.7397157816005984,0.74943904263276
4,1336,3,0.0029940119760479044,[],0.14146706586826346,0.7140718562874252,0.6526946107784432,0.6744011976047904,0.7395209580838323,0.749251497005988
5,1333,3,0.0037509377344336083,[],0.1417854463615904,0.714178544636159,0.6526631657914479,0.6744186046511628,0.7389347336834209,0.7486871717929482
6,1332,3,0.0045045045045045045,[],0.14114114114114115,0.713963963963964,0.6531531531531531,0.674924924924925,0.7394894894894894,0.75
7,1329,3,0.005267118133935289,[],0.14070729872084273,0.7140707298720843,0.653122648607976,0.6749435665914221,0.7389014296463506,0.7509405568096313
8,1328,3,0.006024096385542169,[],0.14006024096385541,0.713855421686747,0.6528614457831325,0.6754518072289156,0.7387048192771084,0.7515060240963856
9,1325,3,0.006792452830188679,[],0.13962264150943396,0.7139622641509434,0.6520754716981132,0.6762264150943397,0.7381132075471698,0.7532075471698113
10,1324,3,0.0075528700906344415,[],0.13897280966767372,0.7137462235649547,0.6518126888217523,0.6759818731117825,0.7379154078549849,0.7530211480362538
11,1321,3,0.008327024981074944,[],0.13853141559424678,0.7138531415594247,0.6510219530658592,0.6752460257380772,0.7373202119606359,0.7524602573807722
12,1320,3,0.00909090909090909,[],0.13787878787878788,0.7136363636363636,0.6515151515151515,0.6765151515151515,0.7378787878787879,0.7537878787878788
13,1317,3,0.009870918754745633,[],0.13743356112376615,0.7137433561123766,0.6514806378132119,0.6765375854214123,0.738800303720577,0.7532270311313591
14,1316,3,0.010638297872340425,[],0.13677811550151975,0.7135258358662614,0.6512158054711246,0.6770516717325228,0.7386018237082067,0.7537993920972644
15,1313,3,0.011424219345011425,[],0.13632901751713633,0.7136329017517137,0.6511805026656512,0.6770753998476771,0.738004569687738,0.7547600913937548
16,1312,3,0.012195121951219513,[],0.13567073170731708,0.7134146341463414,0.6509146341463414,0.676829268292683,0.7378048780487805,0.7545731707317073
17,1309,3,0.012987012987012988,[],0.1359816653934301,0.7135217723453018,0.6508785332314744,0.6776165011459129,0.7387318563789153,0.7547746371275783
18,1308,3,0.013761467889908258,[],0.1353211009174312,0.713302752293578,0.650611620795107,0.6773700305810397,0.7385321100917431,0.7545871559633027
19,1305,3,0.014559386973180077,[],0.135632183908046,0.7134099616858237,0.6505747126436782,0.6766283524904214,0.7379310344827587,0.7540229885057471
