nvars,nclauses,rep,direct_status,fusion_status,fusion_verified,z3_status,agreement,direct_seconds,fusion_seconds,fusion_steps
50,213,0,UNKNOWN,UNKNOWN,False,UNSAT,True,0.017063177999716572,0.028366755000206467,0
50,213,1,UNKNOWN,UNKNOWN,False,SAT,True,0.015970775999903708,0.02780112900018139,0
50,213,2,UNKNOWN,UNKNOWN,False,UNSAT,True,0.01585306800006947,0.038503936999859434,1
50,213,3,UNKNOWN,UNKNOWN,False,SAT,True,0.014739263000137726,0.027486142999805452,0
50,213,4,UNKNOWN,UNKNOWN,False,SAT,True,0.0158916670002327,0.06332482900006653,1
50,213,5,UNKNOWN,UNKNOWN,False,UNSAT,True,0.01511088600000221,0.07199171899992507,1
50,213,6,UNKNOWN,UNKNOWN,False,SAT,True,0.01412284100024408,0.027533254999980272,0
50,213,7,UNKNOWN,UNKNOWN,False,SAT,True,0.015034719999675872,0.039472742000270955,1
50,213,8,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014833205999821075,0.0282677249997505,0
50,213,9,UNKNOWN,UNKNOWN,False,SAT,True,0.014274529999966035,0.02765749299987874,0
50,213,10,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014282071000252472,0.03693127899987303,1
50,213,11,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014752825000414305,0.030216191999898,1
50,213,12,UNKNOWN,UNKNOWN,False,UNSAT,True,0.013987236000048142,0.027494907000345847,0
50,213,13,UNKNOWN,UNKNOWN,False,SAT,True,0.014306788999874698,0.02755512700014151,0
50,213,14,UNKNOWN,UNKNOWN,False,UNSAT,True,0.01439597499984302,0.05973603099982938,1
50,213,15,UNKNOWN,UNKNOWN,False,SAT,True,0.014343565000217495,0.027729220999844983,0
50,213,16,UNKNOWN,UNKNOWN,False,SAT,True,0.014531749000070704,0.037258132999795635,1
50,213,17,UNKNOWN,UNKNOWN,False,SAT,True,0.014109680999808916,0.02837169200029166,1
50,213,18,UNKNOWN,UNKNOWN,False,SAT,True,0.014444368000113172,0.027799677000075462,0
50,213,19,UNKNOWN,UNKNOWN,False,SAT,True,0.015004915000190522,0.027689870999893174,0
50,213,20,UNKNOWN,UNKNOWN,False,SAT,True,0.014894036999976379,0.027407975000187434,0
50,213,21,UNKNOWN,UNKNOWN,False,SAT,True,0.014602446000026248,0.030653393999727996,0
50,213,22,UNKNOWN,UNKNOWN,False,SAT,True,0.014440250999996351,0.027484629999889876,0
50,213,23,UNKNOWN,UNKNOWN,False,SAT,True,0.014464828999734891,0.028072700000393525,0
50,213,24,UNKNOWN,UNKNOWN,False,SAT,True,0.014431627000249136,0.02742368899998837,0
50,213,25,UNKNOWN,UNKNOWN,False,UNSAT,True,0.0142415099999198,0.06424427999991167,1
50,213,26,UNKNOWN,UNKNOWN,False,SAT,True,0.014756710000256135,0.06715631499992014,2
50,213,27,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014437716999964323,0.029091170999890892,1
50,213,28,UNKNOWN,UNKNOWN,False,SAT,True,0.01428551700018943,0.02759576799962815,0
50,213,29,UNKNOWN,UNKNOWN,False,SAT,True,0.014271365999775298,0.02762222900037159,0
50,213,30,UNKNOWN,UNKNOWN,False,SAT,True,0.014295041999957903,0.027572053000312735,0
50,213,31,UNKNOWN,UNKNOWN,False,SAT,True,0.014181610999912664,0.09323241499987489,2
50,213,32,UNKNOWN,UNKNOWN,False,SAT,True,0.014387731000169879,0.03826144100003148,1
50,213,33,UNKNOWN,UNKNOWN,False,SAT,True,0.014355702999637288,0.02761259399994742,0
50,213,34,UNKNOWN,UNKNOWN,False,SAT,True,0.014156282000385545,0.027777332999903592,0
50,213,35,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014554834000136907,0.05943719900005817,1
50,213,36,UNKNOWN,UNKNOWN,False,UNSAT,True,0.01435418099981689,0.027681689000019105,0
50,213,37,UNKNOWN,UNKNOWN,False,UNSAT,True,0.013928186999692116,0.02896602200007692,0
50,213,38,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014665802000308759,0.027782230999946478,0
50,213,39,UNKNOWN,UNKNOWN,False,SAT,True,0.014166516999921441,0.028172980999897845,0
50,213,40,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014657028999863542,0.02728464800020447,0
50,213,41,UNKNOWN,UNKNOWN,False,SAT,True,0.014600402999803919,0.02733746900003098,0
50,213,42,UNKNOWN,UNKNOWN,False,SAT,True,0.014359287999923254,0.07032242400009636,2
50,213,43,UNKNOWN,UNKNOWN,False,SAT,True,0.014603506999719684,0.0305399219996616,1
50,213,44,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014243102999898838,0.027608898999915255,0
50,213,45,UNKNOWN,UNKNOWN,False,SAT,True,0.014181429000018397,0.027521878000243305,0
50,213,46,UNKNOWN,UNKNOWN,False,UNSAT,True,0.01447778700003255,0.027872526999999536,0
50,213,47,UNKNOWN,UNKNOWN,False,SAT,True,0.014197835000231862,0.027394594000270445,0
50,213,48,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014333769000131724,0.027660105999984808,0
50,213,49,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014578570000139734,0.027596308999818575,0
50,213,50,UNKNOWN,UNKNOWN,False,UNSAT,True,0.01507100500020897,0.02754073599999174,0
50,213,51,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014470545999756723,0.06479508300026282,1
50,213,52,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014419999999972788,0.027779997000379808,0
50,213,53,UNKNOWN,UNKNOWN,False,SAT,True,0.014540442999987135,0.028088574000321387,0
50,213,54,UNKNOWN,UNKNOWN,False,SAT,True,0.01422424400016098,0.027803242999652866,0
50,213,55,UNKNOWN,UNKNOWN,False,SAT,True,0.014299659000243992,0.02777212499995585,0
50,213,56,UNKNOWN,UNKNOWN,False,SAT,True,0.014850531999854866,0.02937372799988225,0
50,213,57,UNKNOWN,UNKNOWN,False,SAT,True,0.014453520999722969,0.027763363000303798,0
50,213,58,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014309243000298011,0.028061243000138347,0
50,213,59,UNKNOWN,UNKNOWN,False,SAT,True,0.014108389999819337,0.027702340000359982,0
50,213,60,UNKNOWN,UNKNOWN,False,SAT,True,0.014395372999842948,0.027825626999856468,0
50,213,61,UNKNOWN,UNKNOWN,False,SAT,True,0.014400040000055014,0.027949023000019224,0
