arguments,births,cdcl_counters_applicable,configuration,conflicts,correct,decisions,expected_status,family,layer,log,max_depth,max_relation_arity,memory_mb,nclauses,nvars,preprocessing_seconds,proof_checker,proof_size_bytes,propagations,relation_table_size,returncode,run_id,seconds,seed,size,solver,status,timeout,verified
,,True,default,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.default.log,,,2.21875,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.0069989999756217,0,4,cadical,SAT,False,False
--congruence=false,,True,congruence_off,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.congruence_off.log,,,2.21875,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.005988874996546656,0,4,cadical,SAT,False,False
--congruence=true,,True,congruence_on,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.congruence_on.log,,,2.234375,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.005984707968309522,0,4,cadical,SAT,False,False
--elim=false,,True,bve_off,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.bve_off.log,,,2.234375,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.005832666996866465,0,4,cadical,SAT,False,False
--elim=true,,True,bve_on,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.bve_on.log,,,2.21875,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.006305875023826957,0,4,cadical,SAT,False,False
--factor=false,,True,factor_off,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.factor_off.log,,,2.21875,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.005952625011559576,0,4,cadical,SAT,False,False
--factor=true,,True,factor_on,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.factor_on.log,,,2.21875,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.0058670419966802,0,4,cadical,SAT,False,False
--elimdef=false,,True,elimdef_off,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.elimdef_off.log,,,2.234375,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.005946709017734975,0,4,cadical,SAT,False,False
--elimdef=true,,True,elimdef_on,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cadical.elimdef_on.log,,,2.21875,92,38,,not_applicable,335,16.0,,10,layer_a_v01_regression.n4.s0.s,0.006156457995530218,0,4,cadical,SAT,False,False
,,True,default,0.0,True,0.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.kissat.default.log,,,1.734375,92,38,,not_applicable,335,38.0,,10,layer_a_v01_regression.n4.s0.s,0.0061467920313589275,0,4,kissat,SAT,False,False
--verb=1 --printsol=0,,True,default,0.0,True,3.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cryptominisat5.default.log,,,2.640625,92,38,,not_applicable,0,22.0,,10,layer_a_v01_regression.n4.s0.s,0.006284290982875973,0,4,cryptominisat5,SAT,False,False
--xor=0 --verb=1 --printsol=0,,True,xor_recovery_off,0.0,True,3.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cryptominisat5.xor_recovery_off.log,,,2.625,92,38,,not_applicable,0,22.0,,10,layer_a_v01_regression.n4.s0.s,0.006308084004558623,0,4,cryptominisat5,SAT,False,False
--xor=1 --verb=1 --printsol=0,,True,xor_recovery_on,0.0,True,3.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cryptominisat5.xor_recovery_on.log,,,2.640625,92,38,,not_applicable,0,22.0,,10,layer_a_v01_regression.n4.s0.s,0.006314541038591415,0,4,cryptominisat5,SAT,False,False
--maxnummatrices=0 --verb=1 --printsol=0,,True,gaussian_off,0.0,True,3.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cryptominisat5.gaussian_off.log,,,2.640625,92,38,,not_applicable,0,22.0,,10,layer_a_v01_regression.n4.s0.s,0.005865207989700139,0,4,cryptominisat5,SAT,False,False
--maxnummatrices=5 --verb=1 --printsol=0,,True,gaussian_on,0.0,True,3.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cryptominisat5.gaussian_on.log,,,2.640625,92,38,,not_applicable,0,22.0,,10,layer_a_v01_regression.n4.s0.s,0.0059328339993953705,0,4,cryptominisat5,SAT,False,False
--xor=0 --maxnummatrices=0 --verb=1 --printsol=0,,True,xor_and_gaussian_off,0.0,True,3.0,SAT,layer_a_v01_regression,A,results/run_logs/layer_a_v01_regression.n4.s0.s.cryptominisat5.xor_and_gaussian_off.log,,,2.640625,92,38,,not_applicable,0,22.0,,10,layer_a_v01_regression.n4.s0.s,0.00565433397423476,0,4,cryptominisat5,SAT,False,False
