completed_observations,configuration,decisive_status_observations,distinct_sizes,exponential_aic,exponential_c,exponential_c_ci_high,exponential_c_ci_low,exponential_d,exponential_holdout_log_error,family,observations,par10_mean_seconds,par2_mean_seconds,polynomial_a,polynomial_a_ci_high,polynomial_a_ci_low,polynomial_aic,polynomial_b,polynomial_holdout_log_error,preferred_model,solver,timeouts
40,default,40,4,-133.32848757006397,0.013494809551828855,0.018075991671898578,0.007423359686451069,-4.941656807187506,0.3896143579414469,layer_b_heterogeneous_tseitin,40,0.008981619880069047,0.008981619880069047,0.1497900296963022,0.22703986297766576,0.04344694009696977,-125.00503836807496,-5.102627542570013,0.4036775679393843,exponential,cadical,0
40,default,40,4,-139.08918460611008,0.01288485892515639,0.017244195119715477,0.00851677395911581,-4.944384712981161,0.2518818814430577,layer_b_heterogeneous_tseitin,40,0.008843358352896758,0.008843358352896758,0.147807223080514,0.2288131382467941,0.07348707766317676,-131.3444434176571,-5.109694388910103,0.320094143432772,exponential,kissat,0
40,default,40,4,-127.37671918836585,0.01511515384316111,0.02102362756024637,0.009531757905880666,-4.951636195590011,0.35267972460686303,layer_b_heterogeneous_tseitin,40,0.009160055255051702,0.009160055255051702,0.16983340315184814,0.25513693254304554,0.08469279373270995,-118.8063170150407,-5.136927293901209,0.4110440716331668,exponential,cryptominisat5,0
40,default,40,4,-109.92161293142476,0.01720423328040988,0.025369468961215672,0.009318976513580232,-5.046366907260044,0.5629567196298529,layer_b_heterogeneous_tseitin,40,0.008761944674188272,0.008761944674188272,0.18708836218682504,0.3156721995422208,0.07973923992556503,-101.81705604963362,-5.242182605732712,0.5549539037968648,inconclusive,z3,0
40,default,40,4,-117.61348482536877,0.014534194440904022,0.021050200806111342,0.005978504438156403,-5.048722717229341,0.5539364604129965,layer_d_random_reordered_parity,40,0.008279958354250994,0.008279958354250994,0.14765991922341662,0.2589343274692226,0.0274899044190423,-109.19700570764915,-5.188934999035754,0.5366398782167835,inconclusive,cadical,0
40,default,40,4,-115.47695165701506,0.014344662029847846,0.021573498613503782,0.006897733491555706,-5.0682988305001295,0.3905917811211174,layer_d_random_reordered_parity,40,0.008112154198170175,0.008112154198170175,0.15876770936719986,0.27900695343247556,0.0526009102639333,-109.23091819244361,-5.238301765443838,0.42111824376105983,exponential,kissat,0
40,default,40,4,-119.715811539029,0.007515056765055103,0.013221789957114061,0.0016949276915342775,-4.929377727158905,0.4842096503896093,layer_d_random_reordered_parity,40,0.00830787710583536,0.00830787710583536,0.059872088136069375,0.1498966357211255,-0.03422132909602172,-116.06009747955508,-4.961902467483217,0.4148432438795583,inconclusive,cryptominisat5,0
40,default,40,4,-125.00954035852189,0.010293447766224532,0.015743109299318814,0.004178456683985869,-5.04625572248278,0.5872131868323234,layer_d_random_reordered_parity,40,0.007703474994923454,0.007703474994923454,0.08914051813078626,0.18320125981997987,-0.009831820562966788,-118.16920399401415,-5.108110251845439,0.5126472884887054,inconclusive,z3,0
40,current_min_scope,19,4,-84.23178902118919,0.10348701706723838,0.1124920036693006,0.09594077292102586,-2.7037176593530337,1.5837480349123543,layer_b_heterogeneous_tseitin,40,0.5815305532247294,0.5815305532247294,1.470265261489529,1.5495851309440467,1.4141379386238928,-121.37164604264198,-4.718298175712902,0.1534646560085954,polynomial,morph,0
40,current_min_scope,40,4,-269.19360743935994,0.003002367783863221,0.0037812032926659938,0.0021275167704552663,-3.0879091035316093,0.038025736434800186,layer_d_random_reordered_parity,40,0.047747988520131915,0.047747988520131915,0.042957171964634035,0.05489345014458934,0.030415983731585564,-271.93481161952917,-3.147088335986064,0.026287677191566862,polynomial,morph,0
