bounded_birth_search,configuration,expected_v02_width,explored_states,found,frontier,initialization,instance_id,legacy_match,minimum_births,minimum_scope_width,model,naive_crosscheck,source
,legacy_v01_LCA,3,8,True,"[{""scope_width"": 3, ""max_tuple_count"": 13, ""total_tuple_count"": 28, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 8, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 123, ""endpoint_solver_cost"": 11}, {""scope_width"": 3, ""max_tuple_count"": 13, ""total_tuple_count"": 30, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 8, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 278, ""endpoint_solver_cost"": 9}]",legacy_scope_grouping,v02-random-exact-n4-s0,True,1,3,LCA,True,v0.2 exact suite
4,clause_LCA,,8,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 60, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1375, ""endpoint_solver_cost"": 11}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 62, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1394, ""endpoint_solver_cost"": 9}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 64, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 678, ""endpoint_solver_cost"": 11}]",clause_level,v02-random-exact-n4-s0,,1,3,LCA,True,v0.2 exact suite
2,clause_BCA,,812,True,"[{""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 66, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 14, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 193, ""endpoint_solver_cost"": 40}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 68, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 14, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 103, ""endpoint_solver_cost"": 44}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 75, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 14, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 727, ""endpoint_solver_cost"": 37}]",clause_level,v02-random-exact-n4-s0,,2,4,BCA,True,v0.2 exact suite
,legacy_v01_LCA,3,8,True,"[{""scope_width"": 3, ""max_tuple_count"": 13, ""total_tuple_count"": 33, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 469, ""endpoint_solver_cost"": 3}, {""scope_width"": 3, ""max_tuple_count"": 13, ""total_tuple_count"": 37, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 269, ""endpoint_solver_cost"": 17}, {""scope_width"": 3, ""max_tuple_count"": 13, ""total_tuple_count"": 37, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 459, ""endpoint_solver_cost"": 8}, {""scope_width"": 3, ""max_tuple_count"": 13, ""total_tuple_count"": 38, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 230, ""endpoint_solver_cost"": 19}]",legacy_scope_grouping,v02-random-exact-n4-s1,True,1,3,LCA,True,v0.2 exact suite
4,clause_LCA,,8,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 73, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1590, ""endpoint_solver_cost"": 3}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 77, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1524, ""endpoint_solver_cost"": 25}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 77, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1580, ""endpoint_solver_cost"": 8}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 78, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1351, ""endpoint_solver_cost"": 19}]",clause_level,v02-random-exact-n4-s1,,1,3,LCA,True,v0.2 exact suite
2,clause_BCA,,1264,False,[],clause_level,v02-random-exact-n4-s1,,,,BCA,True,v0.2 exact suite
,legacy_v01_LCA,0,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 14, ""total_tuple_count"": 40, ""max_log_tuple_count"": 3.9068905956085187, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 8, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 40}]",legacy_scope_grouping,v02-random-exact-n4-s2,True,0,0,LCA,True,v0.2 exact suite
4,clause_LCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 15, ""total_tuple_count"": 56, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 56}]",clause_level,v02-random-exact-n4-s2,,0,0,LCA,True,v0.2 exact suite
2,clause_BCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 15, ""total_tuple_count"": 56, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 56}]",clause_level,v02-random-exact-n4-s2,,0,0,BCA,True,v0.2 exact suite
,legacy_v01_LCA,3,8,True,"[{""scope_width"": 3, ""max_tuple_count"": 14, ""total_tuple_count"": 35, ""max_log_tuple_count"": 3.9068905956085187, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 142, ""endpoint_solver_cost"": 14}, {""scope_width"": 3, ""max_tuple_count"": 14, ""total_tuple_count"": 35, ""max_log_tuple_count"": 3.9068905956085187, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 303, ""endpoint_solver_cost"": 13}, {""scope_width"": 3, ""max_tuple_count"": 14, ""total_tuple_count"": 35, ""max_log_tuple_count"": 3.9068905956085187, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 7, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 456, ""endpoint_solver_cost"": 8}]",legacy_scope_grouping,v02-random-exact-n4-s3,True,1,3,LCA,True,v0.2 exact suite
4,clause_LCA,,8,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 66, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 568, ""endpoint_solver_cost"": 14}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 66, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 1219, ""endpoint_solver_cost"": 8}]",clause_level,v02-random-exact-n4-s3,,1,3,LCA,True,v0.2 exact suite
2,clause_BCA,,693,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 67, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 84, ""endpoint_solver_cost"": 51}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 70, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 207, ""endpoint_solver_cost"": 48}]",clause_level,v02-random-exact-n4-s3,,2,3,BCA,True,v0.2 exact suite
,legacy_v01_LCA,0,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 13, ""total_tuple_count"": 24, ""max_log_tuple_count"": 3.807354922057604, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 5, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 24}]",legacy_scope_grouping,v02-random-exact-n4-s4,True,0,0,LCA,True,v0.2 exact suite
4,clause_LCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 15, ""total_tuple_count"": 68, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 68}]",clause_level,v02-random-exact-n4-s4,,0,0,LCA,True,v0.2 exact suite
2,clause_BCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 15, ""total_tuple_count"": 68, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 68}]",clause_level,v02-random-exact-n4-s4,,0,0,BCA,True,v0.2 exact suite
,legacy_v01_LCA,3,11,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 37, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 8, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 543, ""endpoint_solver_cost"": 8}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 44, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 9, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 691, ""endpoint_solver_cost"": 1}]",legacy_scope_grouping,v02-random-exact-n4-s5,True,1,3,LCA,True,v0.2 exact suite
4,clause_LCA,,11,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 46, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 829, ""endpoint_solver_cost"": 8}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 51, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 569, ""endpoint_solver_cost"": 21}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 53, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 923, ""endpoint_solver_cost"": 1}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 56, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 920, ""endpoint_solver_cost"": 5}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 57, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 911, ""endpoint_solver_cost"": 7}]",clause_level,v02-random-exact-n4-s5,,1,3,LCA,True,v0.2 exact suite
2,clause_BCA,,477,True,"[{""scope_width"": 1, ""max_tuple_count"": 15, ""total_tuple_count"": 46, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 30, ""endpoint_solver_cost"": 44}, {""scope_width"": 2, ""max_tuple_count"": 15, ""total_tuple_count"": 47, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 53, ""endpoint_solver_cost"": 43}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 49, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 68, ""endpoint_solver_cost"": 39}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 49, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 72, ""endpoint_solver_cost"": 37}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 53, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 194, ""endpoint_solver_cost"": 37}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 53, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 65, ""endpoint_solver_cost"": 43}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 53, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 88, ""endpoint_solver_cost"": 35}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 53, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 13, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 100, ""endpoint_solver_cost"": 29}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 54, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 194, ""endpoint_solver_cost"": 28}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 57, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 104, ""endpoint_solver_cost"": 33}]",clause_level,v02-random-exact-n4-s5,,1,1,BCA,True,v0.2 exact suite
,legacy_v01_LCA,0,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 7, ""total_tuple_count"": 16, ""max_log_tuple_count"": 3.0, ""max_bitset_bytes"": 1, ""total_bitset_bytes"": 6, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 16}]",legacy_scope_grouping,v02-random-exact-n4-s6,True,0,0,LCA,True,v0.2 exact suite
4,clause_LCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 7, ""total_tuple_count"": 24, ""max_log_tuple_count"": 3.0, ""max_bitset_bytes"": 1, ""total_bitset_bytes"": 8, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 24}]",clause_level,v02-random-exact-n4-s6,,0,0,LCA,True,v0.2 exact suite
2,clause_BCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 7, ""total_tuple_count"": 24, ""max_log_tuple_count"": 3.0, ""max_bitset_bytes"": 1, ""total_bitset_bytes"": 8, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 24}]",clause_level,v02-random-exact-n4-s6,,0,0,BCA,True,v0.2 exact suite
,legacy_v01_LCA,3,12,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 33, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 354, ""endpoint_solver_cost"": 7}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 36, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 141, ""endpoint_solver_cost"": 2}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 38, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 295, ""endpoint_solver_cost"": 12}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 39, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 139, ""endpoint_solver_cost"": 8}]",legacy_scope_grouping,v02-random-exact-n4-s7,True,1,3,LCA,True,v0.2 exact suite
4,clause_LCA,,12,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 33, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 354, ""endpoint_solver_cost"": 7}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 36, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 141, ""endpoint_solver_cost"": 2}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 38, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 295, ""endpoint_solver_cost"": 12}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 39, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 139, ""endpoint_solver_cost"": 8}]",clause_level,v02-random-exact-n4-s7,,1,3,LCA,True,v0.2 exact suite
2,clause_BCA,,565,True,"[{""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 34, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 69, ""endpoint_solver_cost"": 24}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 34, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 74, ""endpoint_solver_cost"": 22}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 35, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 1, ""generation_depth"": 1, ""discovery_work"": 45, ""endpoint_solver_cost"": 27}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 36, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 68, ""endpoint_solver_cost"": 26}, {""scope_width"": 3, ""max_tuple_count"": 15, ""total_tuple_count"": 36, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 11, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 73, ""endpoint_solver_cost"": 24}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 40, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 2, ""discovery_work"": 193, ""endpoint_solver_cost"": 14}, {""scope_width"": 4, ""max_tuple_count"": 15, ""total_tuple_count"": 42, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 12, ""birth_count"": 2, ""generation_depth"": 1, ""discovery_work"": 103, ""endpoint_solver_cost"": 18}]",clause_level,v02-random-exact-n4-s7,,1,3,BCA,True,v0.2 exact suite
,legacy_v01_LCA,0,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 14, ""total_tuple_count"": 27, ""max_log_tuple_count"": 3.9068905956085187, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 6, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 27}]",legacy_scope_grouping,v02-random-exact-n4-s8,True,0,0,LCA,True,v0.2 exact suite
4,clause_LCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 15, ""total_tuple_count"": 54, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 54}]",clause_level,v02-random-exact-n4-s8,,0,0,LCA,True,v0.2 exact suite
2,clause_BCA,,2,True,"[{""scope_width"": 0, ""max_tuple_count"": 15, ""total_tuple_count"": 54, ""max_log_tuple_count"": 4.0, ""max_bitset_bytes"": 2, ""total_bitset_bytes"": 10, ""birth_count"": 0, ""generation_depth"": 0, ""discovery_work"": 0, ""endpoint_solver_cost"": 54}]",clause_level,v02-random-exact-n4-s8,,0,0,BCA,True,v0.2 exact suite
