candidate_rejected,edges,gadget_maps,locally_inconsistent_gadget,nclauses,nvars,proof_size_bytes,proof_verified,sat_status,size,skeleton,vertices
True,1,"[{1: 1, 2: 3, 3: 4, 4: 5}, {1: 2, 2: 6, 3: 7, 4: 8}]",True,12,8,107,True,UNSAT,2,path,2
True,3,"[{1: 1, 2: 5, 3: 6, 4: 7}, {1: 2, 2: 8, 3: 9, 4: 10}, {1: 3, 2: 11, 3: 12, 4: 13}, {1: 4, 2: 14, 3: 15, 4: 16}]",True,24,16,241,True,UNSAT,4,path,4
True,7,"[{1: 1, 2: 9, 3: 10, 4: 11}, {1: 2, 2: 12, 3: 13, 4: 14}, {1: 3, 2: 15, 3: 16, 4: 17}, {1: 4, 2: 18, 3: 19, 4: 20}, {1: 5, 2: 21, 3: 22, 4: 23}, {1: 6, 2: 24, 3: 25, 4: 26}, {1: 7, 2: 27, 3: 28, 4: 29}, {1: 8, 2: 30, 3: 31, 4: 32}]",True,48,32,517,True,UNSAT,8,path,8
True,1,"[{1: 1, 2: 3, 3: 4, 4: 5}, {1: 2, 2: 6, 3: 7, 4: 8}]",True,12,8,107,True,UNSAT,2,balanced_tree,2
True,3,"[{1: 1, 2: 5, 3: 6, 4: 7}, {1: 2, 2: 8, 3: 9, 4: 10}, {1: 3, 2: 11, 3: 12, 4: 13}, {1: 4, 2: 14, 3: 15, 4: 16}]",True,24,16,241,True,UNSAT,4,balanced_tree,4
True,7,"[{1: 1, 2: 9, 3: 10, 4: 11}, {1: 2, 2: 12, 3: 13, 4: 14}, {1: 3, 2: 15, 3: 16, 4: 17}, {1: 4, 2: 18, 3: 19, 4: 20}, {1: 5, 2: 21, 3: 22, 4: 23}, {1: 6, 2: 24, 3: 25, 4: 26}, {1: 7, 2: 27, 3: 28, 4: 29}, {1: 8, 2: 30, 3: 31, 4: 32}]",True,48,32,517,True,UNSAT,8,balanced_tree,8
True,1,"[{1: 1, 2: 3, 3: 4, 4: 5}, {1: 2, 2: 6, 3: 7, 4: 8}]",True,12,8,107,True,UNSAT,2,grid,2
True,4,"[{1: 1, 2: 5, 3: 6, 4: 7}, {1: 2, 2: 8, 3: 9, 4: 10}, {1: 3, 2: 11, 3: 12, 4: 13}, {1: 4, 2: 14, 3: 15, 4: 16}]",True,24,16,241,True,UNSAT,4,grid,4
True,10,"[{1: 1, 2: 9, 3: 10, 4: 11}, {1: 2, 2: 12, 3: 13, 4: 14}, {1: 3, 2: 15, 3: 16, 4: 17}, {1: 4, 2: 18, 3: 19, 4: 20}, {1: 5, 2: 21, 3: 22, 4: 23}, {1: 6, 2: 24, 3: 25, 4: 26}, {1: 7, 2: 27, 3: 28, 4: 29}, {1: 8, 2: 30, 3: 31, 4: 32}]",True,48,32,517,True,UNSAT,8,grid,8
True,1,"[{1: 1, 2: 3, 3: 4, 4: 5}, {1: 2, 2: 6, 3: 7, 4: 8}]",True,12,8,107,True,UNSAT,2,expander,2
True,6,"[{1: 1, 2: 5, 3: 6, 4: 7}, {1: 2, 2: 8, 3: 9, 4: 10}, {1: 3, 2: 11, 3: 12, 4: 13}, {1: 4, 2: 14, 3: 15, 4: 16}]",True,24,16,241,True,UNSAT,4,expander,4
True,12,"[{1: 1, 2: 9, 3: 10, 4: 11}, {1: 2, 2: 12, 3: 13, 4: 14}, {1: 3, 2: 15, 3: 16, 4: 17}, {1: 4, 2: 18, 3: 19, 4: 20}, {1: 5, 2: 21, 3: 22, 4: 23}, {1: 6, 2: 24, 3: 25, 4: 26}, {1: 7, 2: 27, 3: 28, 4: 29}, {1: 8, 2: 30, 3: 31, 4: 32}]",True,48,32,517,True,UNSAT,8,expander,8
True,1,"[{1: 1, 2: 3, 3: 4, 4: 5}, {1: 2, 2: 6, 3: 7, 4: 8}]",True,12,8,107,True,UNSAT,2,tseitin_core,2
True,6,"[{1: 1, 2: 5, 3: 6, 4: 7}, {1: 2, 2: 8, 3: 9, 4: 10}, {1: 3, 2: 11, 3: 12, 4: 13}, {1: 4, 2: 14, 3: 15, 4: 16}]",True,24,16,241,True,UNSAT,4,tseitin_core,4
True,12,"[{1: 1, 2: 9, 3: 10, 4: 11}, {1: 2, 2: 12, 3: 13, 4: 14}, {1: 3, 2: 15, 3: 16, 4: 17}, {1: 4, 2: 18, 3: 19, 4: 20}, {1: 5, 2: 21, 3: 22, 4: 23}, {1: 6, 2: 24, 3: 25, 4: 26}, {1: 7, 2: 27, 3: 28, 4: 29}, {1: 8, 2: 30, 3: 31, 4: 32}]",True,48,32,517,True,UNSAT,8,tseitin_core,8
