affine_backdoor_depth,affine_backdoor_depth_status,affine_backdoor_treewidth,affine_backdoor_treewidth_status,affine_recursive_backdoor_depth,affine_recursive_backdoor_depth_status,affine_strong_backdoor_size,affine_strong_backdoor_size_status,bca_caf_max_tuples,bca_caf_scope,bca_found_within_3,bijunctive_backdoor_depth,bijunctive_backdoor_depth_status,bijunctive_backdoor_treewidth,bijunctive_backdoor_treewidth_status,bijunctive_recursive_backdoor_depth,bijunctive_recursive_backdoor_depth_status,bijunctive_strong_backdoor_size,bijunctive_strong_backdoor_size_status,dual_horn_backdoor_depth,dual_horn_backdoor_depth_status,dual_horn_backdoor_treewidth,dual_horn_backdoor_treewidth_status,dual_horn_recursive_backdoor_depth,dual_horn_recursive_backdoor_depth_status,dual_horn_strong_backdoor_size,dual_horn_strong_backdoor_size_status,formula,general_joinwidth,general_joinwidth_status,horn_backdoor_depth,horn_backdoor_depth_status,horn_backdoor_treewidth,horn_backdoor_treewidth_status,horn_recursive_backdoor_depth,horn_recursive_backdoor_depth_status,horn_strong_backdoor_size,horn_strong_backdoor_size_status,incidence_treewidth,incidence_treewidth_status,induced_width,instance_id,lca_caf_max_tuples,lca_caf_operations,lca_caf_scope,lca_found,linear_joinwidth,linear_joinwidth_status,nclauses,nvars,primal_treewidth,primal_treewidth_status,relation_semantics_sha256,relations,scattered_backdoor_depth,scattered_backdoor_depth_status,scattered_backdoor_treewidth,scattered_backdoor_treewidth_status,scattered_recursive_backdoor_depth,scattered_recursive_backdoor_depth_status,scattered_strong_backdoor_size,scattered_strong_backdoor_size_status,scope_signature
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,4,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[-4], [1, -3, 4, -2], [3, 4, -2, 1], [1], [2], [2, -3, 1, 4], [-2, 3, -1], [3, 4]]",0.0,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s0,15,678,3,True,0.0,EXACT,8,4,3,EXACT,5c91a5088f41293df30a205b18a752f51ad90e5dc79f20a40e926ea456a1e053,"[{""scope"": [4], ""mask"": 1, ""allowed"": [0]}, {""scope"": [1, 2, 3, 4], ""mask"": 65471, ""allowed"": [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1, 2, 3, 4], ""mask"": 65531, ""allowed"": [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1], ""mask"": 2, ""allowed"": [1]}, {""scope"": [2], ""mask"": 2, ""allowed"": [1]}, {""scope"": [1, 2, 3, 4], ""mask"": 65519, ""allowed"": [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1, 2, 3], ""mask"": 247, ""allowed"": [0, 1, 2, 4, 5, 6, 7]}, {""scope"": [3, 4], ""mask"": 14, ""allowed"": [1, 2, 3]}]",1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[1], [1, 2, 3], [1, 2, 3, 4], [1, 2, 3, 4], [1, 2, 3, 4], [2], [3, 4], [4]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,4,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[-2, -3, 1, 4], [-3], [3, -2, 1, 4], [1, 4, 3], [1, 3, -2, -4], [-3, 1, -2], [-3, 1], [3, 2, -1]]",0.40568387108221293,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s1,15,1351,3,True,0.40568387108221293,EXACT,8,4,3,EXACT,d38ebcb0c90d1441d4593d7e26d7c35c47b286c72b217af2e9cfc8fd46680185,"[{""scope"": [1, 2, 3, 4], ""mask"": 65471, ""allowed"": [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [3], ""mask"": 1, ""allowed"": [0]}, {""scope"": [1, 2, 3, 4], ""mask"": 65531, ""allowed"": [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1, 3, 4], ""mask"": 254, ""allowed"": [1, 2, 3, 4, 5, 6, 7]}, {""scope"": [1, 2, 3, 4], ""mask"": 64511, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15]}, {""scope"": [1, 2, 3], ""mask"": 191, ""allowed"": [0, 1, 2, 3, 4, 5, 7]}, {""scope"": [1, 3], ""mask"": 11, ""allowed"": [0, 1, 3]}, {""scope"": [1, 2, 3], ""mask"": 253, ""allowed"": [0, 2, 3, 4, 5, 6, 7]}]",1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[1, 2, 3], [1, 2, 3], [1, 2, 3, 4], [1, 2, 3, 4], [1, 2, 3, 4], [1, 3], [1, 3, 4], [3]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,0,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,"[[2, -4], [-1, 4, 3, 2], [-4, 3], [3, 2, -4], [2, -1, -4, -3], [-2, 1], [-1, 2, 4], [-2, 3]]",0.511916049619631,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s2,15,0,0,True,0.511916049619631,EXACT,8,4,3,EXACT,8d0c1408e0e4a256da6d73424fb42bca9f839899383ea67e4f985cbd8a61d19b,"[{""scope"": [2, 4], ""mask"": 11, ""allowed"": [0, 1, 3]}, {""scope"": [1, 2, 3, 4], ""mask"": 65533, ""allowed"": [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [3, 4], ""mask"": 11, ""allowed"": [0, 1, 3]}, {""scope"": [2, 3, 4], ""mask"": 239, ""allowed"": [0, 1, 2, 3, 5, 6, 7]}, {""scope"": [1, 2, 3, 4], ""mask"": 57343, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]}, {""scope"": [1, 2], ""mask"": 11, ""allowed"": [0, 1, 3]}, {""scope"": [1, 2, 4], ""mask"": 253, ""allowed"": [0, 2, 3, 4, 5, 6, 7]}, {""scope"": [2, 3], ""mask"": 13, ""allowed"": [0, 2, 3]}]",0,EXACT,0,EXACT,0,EXACT,0,EXACT,"[[1, 2], [1, 2, 3, 4], [1, 2, 3, 4], [1, 2, 4], [2, 3], [2, 3, 4], [2, 4], [3, 4]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,3,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,3,EXACT,2,EXACT,3,EXACT,3,EXACT,"[[-4, -3, -1, -2], [-3, 1, 2], [-1], [-1, -3, 2], [2, -1, -3], [4], [4, 3, 2], [-3, -4, -1, 2]]",0.511916049619631,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s3,15,568,3,True,0.511916049619631,EXACT,8,4,3,EXACT,204e8790a92797762013c40d52fa3546ff4e68aebdf10d6eac5df5bb1ba9fd3b,"[{""scope"": [1, 2, 3, 4], ""mask"": 32767, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]}, {""scope"": [1, 2, 3], ""mask"": 239, ""allowed"": [0, 1, 2, 3, 5, 6, 7]}, {""scope"": [1], ""mask"": 1, ""allowed"": [0]}, {""scope"": [1, 2, 3], ""mask"": 223, ""allowed"": [0, 1, 2, 3, 4, 6, 7]}, {""scope"": [1, 2, 3], ""mask"": 223, ""allowed"": [0, 1, 2, 3, 4, 6, 7]}, {""scope"": [4], ""mask"": 2, ""allowed"": [1]}, {""scope"": [2, 3, 4], ""mask"": 254, ""allowed"": [1, 2, 3, 4, 5, 6, 7]}, {""scope"": [1, 2, 3, 4], ""mask"": 57343, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]}]",2,EXACT,1,EXACT,2,EXACT,2,EXACT,"[[1], [1, 2, 3], [1, 2, 3], [1, 2, 3], [1, 2, 3, 4], [1, 2, 3, 4], [2, 3, 4], [4]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,0,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,"[[1, 2, -3, -4], [4, -3], [3, 4], [-4, -2, 3, -1], [2, 4], [-3, 2, 4], [3, 4, 2], [-4, 2, 3, -1]]",0.5943161289177871,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s4,15,0,0,True,0.5943161289177871,EXACT,8,4,3,EXACT,5f34ae8e92323b9fc1bbb8c0956c97d4a0aa04a9178a6a1f83c771e426ce413b,"[{""scope"": [1, 2, 3, 4], ""mask"": 61439, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]}, {""scope"": [3, 4], ""mask"": 13, ""allowed"": [0, 2, 3]}, {""scope"": [3, 4], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [1, 2, 3, 4], ""mask"": 63487, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]}, {""scope"": [2, 4], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [2, 3, 4], ""mask"": 251, ""allowed"": [0, 1, 3, 4, 5, 6, 7]}, {""scope"": [2, 3, 4], ""mask"": 254, ""allowed"": [1, 2, 3, 4, 5, 6, 7]}, {""scope"": [1, 2, 3, 4], ""mask"": 65023, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15]}]",0,EXACT,0,EXACT,0,EXACT,0,EXACT,"[[1, 2, 3, 4], [1, 2, 3, 4], [1, 2, 3, 4], [2, 3, 4], [2, 3, 4], [2, 4], [3, 4], [3, 4]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,1,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,"[[-4], [3, 2, -1], [4, -1, -2], [4, -1, -2], [-3], [4], [-1, -4, -3], [3, 2, -4, 1]]",0.40568387108221293,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s5,15,569,3,True,0.40568387108221293,EXACT,8,4,3,EXACT,a06793f10f598c9fc5df3ad457d032bf436538a8c826d01039aa5755275847f4,"[{""scope"": [4], ""mask"": 1, ""allowed"": [0]}, {""scope"": [1, 2, 3], ""mask"": 253, ""allowed"": [0, 2, 3, 4, 5, 6, 7]}, {""scope"": [1, 2, 4], ""mask"": 247, ""allowed"": [0, 1, 2, 4, 5, 6, 7]}, {""scope"": [1, 2, 4], ""mask"": 247, ""allowed"": [0, 1, 2, 4, 5, 6, 7]}, {""scope"": [3], ""mask"": 1, ""allowed"": [0]}, {""scope"": [4], ""mask"": 2, ""allowed"": [1]}, {""scope"": [1, 3, 4], ""mask"": 127, ""allowed"": [0, 1, 2, 3, 4, 5, 6]}, {""scope"": [1, 2, 3, 4], ""mask"": 65279, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]}]",1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[1, 2, 3], [1, 2, 3, 4], [1, 2, 4], [1, 2, 4], [1, 3, 4], [3], [4], [4]]"
2,EXACT,1,EXACT,2,EXACT,2,EXACT,7,0,True,1,EXACT,0,EXACT,1,EXACT,1,EXACT,1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[4], [-3, 1, -4], [1, 3], [3, -4], [1, -4], [1, 4], [4, 3], [2]]",0.5645750340535797,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,3,EXACT,2,v02-random-exact-n4-s6,7,0,0,True,0.5645750340535797,EXACT,8,4,2,EXACT,ac9c97eec0a598b2d07d6f131148f0ff38eaec5ae70280b7461f12f509516449,"[{""scope"": [4], ""mask"": 2, ""allowed"": [1]}, {""scope"": [1, 3, 4], ""mask"": 191, ""allowed"": [0, 1, 2, 3, 4, 5, 7]}, {""scope"": [1, 3], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [3, 4], ""mask"": 11, ""allowed"": [0, 1, 3]}, {""scope"": [1, 4], ""mask"": 11, ""allowed"": [0, 1, 3]}, {""scope"": [1, 4], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [3, 4], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [2], ""mask"": 2, ""allowed"": [1]}]",0,EXACT,0,EXACT,0,EXACT,0,EXACT,"[[1, 3], [1, 3, 4], [1, 4], [1, 4], [2], [3, 4], [3, 4], [4]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,3,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[-3], [4, 3], [4], [-4, -2, 3], [-4, 2, 1, 3], [2], [-1], [2, 1]]",0.0,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,3,EXACT,3,v02-random-exact-n4-s7,15,139,3,True,0.0,EXACT,8,4,3,EXACT,c5392ef337822d0bf465def3373bf179b34f9070b61e86a0710c66fba1f6560f,"[{""scope"": [3], ""mask"": 1, ""allowed"": [0]}, {""scope"": [3, 4], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [4], ""mask"": 2, ""allowed"": [1]}, {""scope"": [2, 3, 4], ""mask"": 223, ""allowed"": [0, 1, 2, 3, 4, 6, 7]}, {""scope"": [1, 2, 3, 4], ""mask"": 65279, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [2], ""mask"": 2, ""allowed"": [1]}, {""scope"": [1], ""mask"": 1, ""allowed"": [0]}, {""scope"": [1, 2], ""mask"": 14, ""allowed"": [1, 2, 3]}]",1,EXACT,0,EXACT,1,EXACT,1,EXACT,"[[1], [1, 2], [1, 2, 3, 4], [2], [2, 3, 4], [3], [3, 4], [4]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,0,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,"[[1, 3, 4, -2], [-1, -3], [-2, -3], [-1], [-3, -2], [3, 2, -1, 4], [-2, -4, -1], [-2, 4, -1]]",0.5943161289177871,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,4,EXACT,3,v02-random-exact-n4-s8,15,0,0,True,0.5943161289177871,EXACT,8,4,3,EXACT,f1bfb07c8ee3a89b3a3a25c8c97e4a42bd3022c1fe4750ee577746ec86b6f827,"[{""scope"": [1, 2, 3, 4], ""mask"": 65531, ""allowed"": [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1, 3], ""mask"": 7, ""allowed"": [0, 1, 2]}, {""scope"": [2, 3], ""mask"": 7, ""allowed"": [0, 1, 2]}, {""scope"": [1], ""mask"": 1, ""allowed"": [0]}, {""scope"": [2, 3], ""mask"": 7, ""allowed"": [0, 1, 2]}, {""scope"": [1, 2, 3, 4], ""mask"": 65533, ""allowed"": [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1, 2, 4], ""mask"": 127, ""allowed"": [0, 1, 2, 3, 4, 5, 6]}, {""scope"": [1, 2, 4], ""mask"": 247, ""allowed"": [0, 1, 2, 4, 5, 6, 7]}]",0,EXACT,0,EXACT,0,EXACT,0,EXACT,"[[1], [1, 2, 3, 4], [1, 2, 3, 4], [1, 2, 4], [1, 2, 4], [1, 3], [2, 3], [2, 3]]"
3,EXACT,2,EXACT,3,EXACT,3,EXACT,15,0,True,2,EXACT,1,EXACT,2,EXACT,2,EXACT,0,EXACT,0,EXACT,0,EXACT,0,EXACT,"[[1, 3], [-1], [-3, 1, 2, 4], [1, -4, 2, 3], [-4], [2], [3], [2]]",0.0,EXACT,2,EXACT,1,EXACT,2,EXACT,2,EXACT,3,EXACT,3,v02-random-exact-n4-s9,15,0,0,True,0.0,EXACT,8,4,3,EXACT,1108b1c695cb5f91419d67292ba3c49408be61511b1a76842216e96b65ed443c,"[{""scope"": [1, 3], ""mask"": 14, ""allowed"": [1, 2, 3]}, {""scope"": [1], ""mask"": 1, ""allowed"": [0]}, {""scope"": [1, 2, 3, 4], ""mask"": 65519, ""allowed"": [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [1, 2, 3, 4], ""mask"": 65279, ""allowed"": [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]}, {""scope"": [4], ""mask"": 1, ""allowed"": [0]}, {""scope"": [2], ""mask"": 2, ""allowed"": [1]}, {""scope"": [3], ""mask"": 2, ""allowed"": [1]}, {""scope"": [2], ""mask"": 2, ""allowed"": [1]}]",0,EXACT,0,EXACT,0,EXACT,0,EXACT,"[[1], [1, 2, 3, 4], [1, 2, 3, 4], [1, 3], [2], [2], [3], [4]]"
